Code Tâche;Famille Code;Famille;Commentaire / Type d’équipe;Catégorie Code;Catégorie;Sous-catégorie Code;Sous-catégorie;Nom de la tâche;Description détaillée;Unité;Rendement (h/Unité) - estimatif;Contrôles Qualité (résumé);Normes / Références
FT01/CT01/SC01/T01;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC01;Base vie / sanitaires;Études & préparation – Base vie / sanitaires;Analyser plans et CCTP, repérer interfaces et contraintes, établir mode opératoire.;lot;1,9;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC01/T02;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC01;Base vie / sanitaires;Traçage & implantation – Base vie / sanitaires;Tracer axes, niveaux et réservations, contrôler tolérances (laser, niveau).;lot;2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC01/T03;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC01;Base vie / sanitaires;Approvisionnement & stockage – Base vie / sanitaires;Planifier, réceptionner et stocker matériaux selon fiches techniques.;lot;2,1;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC01/T04;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC01;Base vie / sanitaires;Mise en place / Pose – Base vie / sanitaires;Exécuter la mise en œuvre conformément aux normes DTU/RE 2020.;lot;2,2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC01/T05;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC01;Base vie / sanitaires;Fixations / Assemblages – Base vie / sanitaires;Réaliser ancrages, vissage, scellements, contrôles de couple/adhérence.;lot;1,8;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC01/T06;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC01;Base vie / sanitaires;Raccordements – Base vie / sanitaires;Effectuer raccordements fonctionnels et étanches (fluides/élec/air).;lot;1,9;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC01/T07;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC01;Base vie / sanitaires;Traitements & protections – Base vie / sanitaires;Appliquer traitements (anticorrosion/étanchéité/feu) et protections provisoires.;lot;2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC01/T08;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC01;Base vie / sanitaires;Contrôles qualité – Base vie / sanitaires;Vérifier conformité visuelle et dimensionnelle, PV de contrôle et photos.;lot;2,1;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC02/T01;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC02;Clôtures / portails / accès;Études & préparation – Clôtures / portails / accès;Analyser plans et CCTP, repérer interfaces et contraintes, établir mode opératoire.;lot;1,9;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC02/T02;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC02;Clôtures / portails / accès;Traçage & implantation – Clôtures / portails / accès;Tracer axes, niveaux et réservations, contrôler tolérances (laser, niveau).;lot;2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC02/T03;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC02;Clôtures / portails / accès;Approvisionnement & stockage – Clôtures / portails / accès;Planifier, réceptionner et stocker matériaux selon fiches techniques.;lot;2,1;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC02/T04;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC02;Clôtures / portails / accès;Mise en place / Pose – Clôtures / portails / accès;Exécuter la mise en œuvre conformément aux normes DTU/RE 2020.;lot;2,2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC02/T05;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC02;Clôtures / portails / accès;Fixations / Assemblages – Clôtures / portails / accès;Réaliser ancrages, vissage, scellements, contrôles de couple/adhérence.;lot;1,8;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC02/T06;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC02;Clôtures / portails / accès;Raccordements – Clôtures / portails / accès;Effectuer raccordements fonctionnels et étanches (fluides/élec/air).;lot;1,9;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC02/T07;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC02;Clôtures / portails / accès;Traitements & protections – Clôtures / portails / accès;Appliquer traitements (anticorrosion/étanchéité/feu) et protections provisoires.;lot;2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC02/T08;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC02;Clôtures / portails / accès;Contrôles qualité – Clôtures / portails / accès;Vérifier conformité visuelle et dimensionnelle, PV de contrôle et photos.;lot;2,1;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC03/T01;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC03;Raccordements provisoires;Études & préparation – Raccordements provisoires;Analyser plans et CCTP, repérer interfaces et contraintes, établir mode opératoire.;lot;1,9;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC03/T02;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC03;Raccordements provisoires;Traçage & implantation – Raccordements provisoires;Tracer axes, niveaux et réservations, contrôler tolérances (laser, niveau).;lot;2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC03/T03;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC03;Raccordements provisoires;Approvisionnement & stockage – Raccordements provisoires;Planifier, réceptionner et stocker matériaux selon fiches techniques.;lot;2,1;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
